#    L    TT             EE             BB             TE             PP             TP             EP          
   217   0.565084E+04   0.769156E+00   0.000000E+00   0.101992E+02   0.572677E-07   0.130929E-03  -0.152858E-06
   218   0.564997E+04   0.787963E+00   0.000000E+00   0.117979E+02   0.570054E-07   0.129876E-03  -0.138868E-06
   219   0.564846E+04   0.808259E+00   0.000000E+00   0.134079E+02   0.567450E-07   0.128831E-03  -0.124981E-06
   220   0.564630E+04   0.830070E+00   0.000000E+00   0.150286E+02   0.564866E-07   0.127795E-03  -0.111193E-06
   221   0.564349E+04   0.853423E+00   0.000000E+00   0.166593E+02   0.562301E-07   0.126766E-03  -0.974977E-07
   222   0.564003E+04   0.878362E+00   0.000000E+00   0.182995E+02   0.559755E-07   0.125745E-03  -0.838906E-07
   223   0.563592E+04   0.904906E+00   0.000000E+00   0.199483E+02   0.557228E-07   0.124732E-03  -0.703664E-07
   224   0.563118E+04   0.933090E+00   0.000000E+00   0.216051E+02   0.554720E-07   0.123727E-03  -0.569200E-07
   225   0.562579E+04   0.962933E+00   0.000000E+00   0.232691E+02   0.552230E-07   0.122729E-03  -0.435463E-07
   226   0.561976E+04   0.994477E+00   0.000000E+00   0.249398E+02   0.549758E-07   0.121739E-03  -0.302401E-07
   227   0.561310E+04   0.102775E+01   0.000000E+00   0.266163E+02   0.547304E-07   0.120756E-03  -0.169964E-07
   228   0.560580E+04   0.106277E+01   0.000000E+00   0.282979E+02   0.544869E-07   0.119781E-03  -0.381009E-08
   229   0.559787E+04   0.109958E+01   0.000000E+00   0.299839E+02   0.542451E-07   0.118813E-03   0.932401E-08
